Country,EdLevel,DevType,LanguageHaveWorkedWith,RemoteWork,ConvertedCompYearly,YearsCodePro
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",89147.0,12
Lithuania,Master's,"Developer, full-stack",C#;Java;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",90221.0,5
Italy,Bachelor's,"Developer, back-end",Apex;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Remote,86999.0,8
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Nim;PHP;Rust;SQL;TypeScript,Remote,190000.0,10
UK,Secondary School,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust,In-person,31847.0,23
Italy,Secondary School,"Developer, desktop or enterprise applications",Delphi;SQL,In-person,37592.0,30
Netherlands,Master's,"Developer, full-stack",C#;HTML/CSS;SQL,"Hybrid (some remote, some in-person)",53703.0,18
Netherlands,Master's,"Developer, full-stack",Kotlin,"Hybrid (some remote, some in-person)",150369.0,9
Germany,Secondary School,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,In-person,10955.0,3
Slovenia,Associate,"Developer, back-end",C#,"Hybrid (some remote, some in-person)",53703.0,2
Romania,Some College,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Remote,161109.0,45
Spain,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,Remote,32222.0,4
India,Master's,Engineering manager,JavaScript;PHP;Python;SQL;TypeScript,Remote,47854.0,
USA,Bachelor's,"Developer, full-stack",Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,"Hybrid (some remote, some in-person)",118000.0,9
USA,Bachelor's,Research & Development role,C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,In-person,150000.0,
USA,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;TypeScript,"Hybrid (some remote, some in-person)",87250.0,6
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;TypeScript,"Hybrid (some remote, some in-person)",55851.0,4
Spain,Master's,"Developer, full-stack",JavaScript;Python;TypeScript,Remote,42962.0,5
Singapore,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Senior Executive (C-Suite, VP, etc.)",C++;Fortran;Python,In-person,295662.0,6
Netherlands,Bachelor's,"Developer, desktop or enterprise applications",Assembly;Cobol;JavaScript;PowerShell;Python;TypeScript,"Hybrid (some remote, some in-person)",56925.0,1
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",91295.0,6
Russian Federation,Master's,"Developer, desktop or enterprise applications",C#;C++;SQL,Remote,56022.0,1
USA,Bachelor's,"Developer, full-stack",Java;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",124000.0,17
Brazil,Some College,"Developer, full-stack",Bash/Shell (all shells);C;C#;Go;Java;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,In-person,10070.0,18
Italy,Bachelor's,"Developer, back-end",Python,Remote,91295.0,6
USA,Bachelor's,Cloud infrastructure engineer,Bash/Shell (all shells);Java,Remote,120000.0,13
France,Master's,"Developer, full-stack",Bash/Shell (all shells);C;Go;JavaScript;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",44037.0,3
Pakistan,Bachelor's,DevOps specialist,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;Ruby;SQL;Visual Basic (.Net),"Hybrid (some remote, some in-person)",85925.0,22
Netherlands,Some College,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;VBA,"Hybrid (some remote, some in-person)",6230.0,4
India,Bachelor's,"Developer, back-end",Apex;C;Cobol;Ruby,Remote,43068.0,4
Ukraine,Some College,"Developer, back-end",C#;JavaScript,Remote,4937.0,11
Germany,Master's,"Developer, back-end",Bash/Shell (all shells);Ruby;SQL,Remote,139628.0,10
Canada,Associate,Cloud infrastructure engineer,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Remote,181732.0,31
USA,Bachelor's,"Developer, desktop or enterprise applications",Bash/Shell (all shells);Go;Python,Remote,205000.0,4
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,Remote,250000.0,5
USA,Master's,"Developer, full-stack",Bash/Shell (all shells);C;C#;Python,Remote,250000.0,3
"Venezuela, Bolivarian Republic of...",Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Remote,12000.0,Less than 1 year
Japan,Master's,Research & Development role,Assembly;Bash/Shell (all shells);C++;Python;Rust;TypeScript,In-person,50915.0,5
France,Bachelor's,"Developer, front-end",JavaScript;TypeScript,Remote,69814.0,6
Latvia,Master's,"Senior Executive (C-Suite, VP, etc.)",C;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript,In-person,32222.0,19
USA,Master's,"Developer, full-stack",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,In-person,257000.0,9
USA,Bachelor's,"Developer, full-stack",C#;JavaScript;PowerShell;SQL;TypeScript,Remote,163000.0,16
Sweden,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",70584.0,2
Costa Rica,Bachelor's,"Developer, back-end",C;C++;Go;JavaScript;TypeScript,Remote,200000.0,
Italy,Secondary School,"Developer, desktop or enterprise applications",Delphi,"Hybrid (some remote, some in-person)",107406.0,8
Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",C++;Go;Python;Rust,"Hybrid (some remote, some in-person)",74239.0,21
India,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",9571.0,2
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Research & Development role,C;OCaml,In-person,66592.0,15
UK,Bachelor's,"Developer, back-end",C#;Groovy;HTML/CSS;PowerShell,Remote,57325.0,2
UK,Master's,"Developer, full-stack",C#;C++;JavaScript;Julia;Python;Rust;TypeScript,"Hybrid (some remote, some in-person)",56051.0,Less than 1 year
Italy,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,In-person,27926.0,
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Project manager,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Remote,214812.0,2
USA,Bachelor's,"Developer, mobile",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Remote,105000.0,15
Brazil,Bachelor's,"Developer, full-stack",Java;JavaScript;Kotlin;TypeScript,Remote,49233.0,2
Czech Republic,Some College,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,In-person,43435.0,31
Ukraine,Master's,"Developer, full-stack",HTML/CSS;JavaScript;Python;SQL;TypeScript,Remote,48000.0,Less than 1 year
USA,Bachelor's,"Developer, full-stack",PHP;PowerShell;SQL,"Hybrid (some remote, some in-person)",70000.0,6
USA,Bachelor's,"Developer, desktop or enterprise applications",Apex;C#;Go;Rust;SQL,"Hybrid (some remote, some in-person)",150000.0,
UK,Bachelor's,"Senior Executive (C-Suite, VP, etc.)",C#;TypeScript,Remote,127388.0,8
Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Assembly;Bash/Shell (all shells);C;C++;R;SQL,"Hybrid (some remote, some in-person)",53703.0,4
Netherlands,Master's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",91295.0,17
Canada,Master's,Data scientist or machine learning specialist,HTML/CSS;JavaScript;Python,Remote,122124.0,19
Norway,Master's,"Developer, desktop or enterprise applications",Bash/Shell (all shells);Java;Kotlin;Python;SQL,"Hybrid (some remote, some in-person)",149746.0,1
USA,Some College,Cloud infrastructure engineer,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Perl;Python;SQL,"Hybrid (some remote, some in-person)",402000.0,4
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Remote,137136.0,8
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Assembly;C;C++;HTML/CSS;JavaScript;Python;R;TypeScript,Remote,32744.0,18
Austria,Secondary School,"Developer, full-stack",HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Remote,80555.0,30
USA,Bachelor's,"Developer, back-end",C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,Remote,175000.0,15
USA,Some College,Student,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,In-person,39520.0,5
UK,Master's,"Developer, back-end",Bash/Shell (all shells);Python,"Hybrid (some remote, some in-person)",68535.0,
USA,Bachelor's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Python,In-person,120000.0,3
UK,Master's,DevOps specialist,Bash/Shell (all shells);C;C#;C++;GDScript;Go;HTML/CSS;Java;JavaScript;Python,Remote,114649.0,11
USA,Bachelor's,"Developer, game or graphics",C#;Java,Remote,80000.0,15
Poland,Master's,Blockchain,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Solidity;SQL,Remote,120000.0,14
UK,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);GDScript;PowerShell;Python;SQL,In-person,33121.0,14
Ukraine,Bachelor's,"Developer, front-end",JavaScript,Remote,167.0,25
Portugal,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift,"Hybrid (some remote, some in-person)",128887.0,Less than 1 year
Finland,Some College,"Developer, full-stack",Bash/Shell (all shells);Java;SQL,Remote,84851.0,2
Canada,Master's,"Developer, full-stack",C#;JavaScript;SQL;TypeScript,Remote,87231.0,3
Canada,Bachelor's,"Developer, full-stack",C#;C++;JavaScript;PowerShell;Python;TypeScript,"Hybrid (some remote, some in-person)",93047.0,
Israel,Secondary School,"Developer, front-end",C#;GDScript;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",64762.0,12
USA,Master's,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",163000.0,3
Germany,Master's,"Developer, desktop or enterprise applications",Assembly;C++;Go;Java;Objective-C;PHP;Python;Swift,"Hybrid (some remote, some in-person)",78621.0,15
Netherlands,Master's,"Developer, AI",Python,"Hybrid (some remote, some in-person)",64444.0,2
Lithuania,Some College,Engineering manager,PHP,"Hybrid (some remote, some in-person)",85925.0,4
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Remote,84076.0,9
Germany,Master's,"Developer, embedded applications or devices",Bash/Shell (all shells);C++;Python,"Hybrid (some remote, some in-person)",83777.0,10
Ukraine,Master's,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Remote,72000.0,23
UK,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",35032.0,2
USA,Bachelor's,"Developer, embedded applications or devices",C;C++;Python,In-person,150000.0,28
